Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,KY,2013,"5         ",Female,11,Left-Handed,159,25,153,1,Bus,20,0.473,46,Other,503,128,738,1000,727,1000,26,"Left foot",80,70,"Index finger",October,,No,No,Pizza/Pasta,"Soft drink (caffeinated)","Mathematics and statistics",9,10,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,0,2,5,7,6,2,1,0,3,4,4,3,"Very little",Other,Country,Telepathy,Rich,"Musician or singer","Wildlife, animals"
USA,KY,2013,"12        ",Female,14,Right-Handed,170,24,169,2,Car,35,0.351,37,Gymnastics,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,KY,2013,"12        ",Male,18,Right-Handed,155,26,161,1,Car,15,.33,28,None,567,305,556,278,1000,1000,26,"Same length",75,80,"Ring finger",December,Fall,No,No,Meat,Water,Music,6,3,4,"Yes - other","Text messaging",90,100,10,2,1,2,0,0,50,84,50,20,30,2,"A lot","Graduate degree","Heavy metal",Invisibility,Happy,"Musician or singer","Arts, culture, sports"
USA,KY,2012,"12        ",Female,17,Right-Handed,163,25,164.5,1,Car,5,0.385,36,Dancing,500,400,700,600,800,1000,25,"Same length",95,105,"Ring finger",June,Fall,Yes,No,Poultry,Milk,Science,7.5,7.5,5,"No internet connection","In person",160,170,30,12,7,28,7,0,0,50,0,10,15,10,Some,Other,Pop,Telepathy,Happy,Friend,"Education/Youth development"
USA,KY,2019,"7         ",Female,14,Right-Handed,4'11,21,160,2,Bus,22,0.409,41,,1000,0,1000,1000,0,1000,21,"Same length",8,8,"Same length",January,Summer,No,No,Seafood,Tea,"Social studies",8,none,8,"Yes - other","Myspace, Facebook, other social networking sites, or blog",2,2,0,10,0,10,10,0,10,10,10,0,10,10,"A lot","Graduate degree","Rap/Hip hop","Super strength",Rich,"Musician or singer",Other
USA,KY,2018,"10        ",Female,15,Right-Handed,167,23,165,2,Bus,60,0.506,49,Other,193,759,487,251,455,583,24,"Left foot",80,70,"Index finger",September,Fall,No,No,"Rice/Noodle dishes","Soft drink (caffeinated)","Mathematics and statistics",7.5,9,4,"Yes - other","Text messaging",75,50,3,.5,7,10,5,1,4,2,1,6,0,1,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Rich,"Business person","Education/Youth development"
USA,KY,2018,"10        ",Male,16,Right-Handed,170,23,172,2,Car,28,0.457,48,Tennis,800,600,750,500,900,950,,"Right foot",,,,March,Summer,Yes,Yes,Pizza/Pasta,Water,"Mathematics and statistics",6,8,3,"Yes - broadband connection","Text messaging",500,500,3,3,10,2,7,1,8,3.5,60,0,0,0,Some,"Graduate degree",Pop,"Freeze time",Rich,Friend,"Education/Youth development"
USA,KY,2012,"6         ",Female,12,Right-Handed,56,6,62,1,Bus,15,0.456,55,Gymnastics,0,1000,1000,1000,0,0,6,"Same length",8,8,"Same length",December,Summer,No,No,Pizza/Pasta,Water,"Social studies",8,4,5,"Yes - dial-up connection","Text messaging",300,300,24,2,1,5,6,6,2,24,2,3,0,0,Some,"Graduate degree",Pop,Telepathy,Rich,Relative,Health
USA,KY,2016,"6         ",Female,12,Right-Handed,142,20,146,1,Walk,10,.363,46,Walking/Hiking,1000,1000,1000,1000,1000,1000,23,"Left foot",7,7,"Same length",January,Summer,Yes,No,Other,Tea,"Mathematics and statistics",6,7,9,"Yes - other",Other,0,0,0,0,10,28,25,0,0,0,0,23,25,26,,,,,,,
USA,KY,2013,"5         ",Male,10,Right-Handed,138,22,142,1,Car,3,0.421,53,"Football (American)",604,551,786,1000,1000,1000,22,"Right foot",8,8,"Same length",June,Summer,No,No,Meat,"Soft drink (caffeinated)","Physical education",9,5,4,"Yes - broadband connection","Internet chat or instant messaging",0,0,7,1,1,1,3,2,1,2,3,2,6,1,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,Other,"Wildlife, animals"
USA,KY,2012,"6         ",Female,11.5,Right-Handed,62,25,60,2,Bus,10,1.126,44,Tennis,10,100,10,10,100,100,25,"Same length",,,"Ring finger",April,Spring,No,No,Pizza/Pasta,Water,Music,7.5,6,6,"Yes - other","Text messaging",20,30,10,5,5,5,5,5,5,5,5,5,4,5,None,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Other,Other
